Domain name,Domain type,Agency,Organization name,City,State,Security Contact Email
vistacampus.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,,, 
volunteeringinamerica.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,,, 
nehrp.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,,, 
nist.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,,, 
noaa.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,,, 
fnal.gov,Federal - Executive,Department of Energy,Fermi National Accelerator Laboratory,,, 
nersc.gov,Federal - Executive,Department of Energy,National Energy Research Scientific Computing Center,,, 
neup.gov,Federal - Executive,Department of Energy,Office of Nuclear Energy,,, 
nnss.gov,Federal - Executive,Department of Energy,"National Nuclear Security Administration, National Security Technologies, LLC",,, 
flu.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,,, 
nih.gov,Federal - Executive,Department of Health and Human Services,National Institutes of Health,,, 
niosh.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,,, 
nlm.gov,Federal - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",,, 
nnlm.gov,Federal - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",,, 
floodsmart.gov,Federal - Executive,Department of Homeland Security,Federal Emergency Management Agency,,, 
nic.gov,Federal - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,,, 
niem.gov,Federal - Executive,Department of Homeland Security,"Department of Homeland Security, Office of the Chief Information Officer",,, 
nmsc.gov,Federal - Executive,Department of Homeland Security,National Marine Center,,, 
nhl.gov,Federal - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,,, 
nls.gov,Federal - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,,, 
foia.gov,Federal - Executive,Department of Justice,"Department of Justice, Office of e-Government",,, 
nicic.gov,Federal - Executive,Department of Justice,"Department of Justice, National Institute of Corrections",,, 
nicsezcheckfbi.gov,Federal - Executive,Department of Justice,Federal Bureau of Investigation,,, 
nij.gov,Federal - Executive,Department of Justice,Office of Justice Programs ,,, 
nmvtis.gov,Federal - Executive,Department of Justice,Office of Justice Programs,,, 
nemi.gov,Federal - Executive,Department of the Interior,U.S. Geological Survey,,, 
nfpors.gov,Federal - Executive,Department of the Interior,National Fire Plan Operations & Reporting System,,, 
nifc.gov,Federal - Executive,Department of the Interior,National Interagency Fire Center,,, 
volcano.gov,Federal - Executive,Department of the Interior,US Geological Survey/Volcano Science Center,,, 
volunteer.gov,Federal - Executive,Department of the Interior,National Park Service,,, 
flyhealthy.gov,Federal - Executive,Department of Transportation,Federal Aviation Administration,,, 
nhtsa.gov,Federal - Executive,Department of Transportation,National Highway Traffic Safety Administration,,, 
votebymail.gov,Federal - Executive,Election Assistance Commission,Election Assistance Commission,,, 
nepa.gov,Federal - Executive,Executive Office of the President,Council on Environmental Quality,,, 
flra.gov,Federal - Executive,Federal Labor Relations Authority,Federal Labor Relations Authority,,, 
fmc.gov,Federal - Executive,Federal Maritime Commission,Federal Maritime Commission,,, 
fmcs.gov,Federal - Executive,Federal Mediation and Conciliation Service,Federal Mediation and Conciliation Service,,, 
fmshrc.gov,Federal - Executive,Federal Mine Safety and Health Review Commission,Federal Mine Safety & Health Review Commission,,, 
newmoney.gov,Federal - Executive,Federal Reserve Board of Governors,Federal Reserve Board of Governors,,, 
fmi.gov,Federal - Executive,General Services Administration,"GSA, IC, OGP WebPortfolio",,, 
vote.gov,Federal - Executive,General Services Administration,"GSA,FAS,Technology Transformation Service",,, 
responsibility-poor.gov,Federal - Executive,Institute of Museum and Library Services,Example - Approved,Lake Felicia,PR,dotgov@cisa.dhs.gov
nixonlibrary.gov,Federal - Executive,National Archives and Records Administration,NPOL,,, 
nga.gov,Federal - Executive,National Gallery of Art,National Gallery of Art,,, 
nigc.gov,Federal - Executive,National Indian Gaming Commission,National Indian Gaming Commision,,, 
nlrb.gov,Federal - Executive,National Labor Relations Board,National Labor Relations Board,,, 
nmb.gov,Federal - Executive,National Mediation Board,National Mediation Board,,, 
nitrd.gov,Federal - Executive,Networking Information Technology Research and Development,National Coordination Office for Networking and Information Technology Research and Development,,, 
voa.gov,Federal - Executive,,VOA,,, 
black-born-world.gov,Federal - Judicial,Department of the Interior,Example - Approved,West Joseph,AS,dotgov@cisa.dhs.gov
and-tell-industry.gov,Federal - Judicial,U.S. Commission for the Preservation of Americas Heritage Abroad,Example - Approved,Port Laura,VA,dotgov@cisa.dhs.gov
visitthecapital.gov,Federal - Legislative,Architect of the Capitol,Architect of the Capitol,,, 
visitthecapitol.gov,Federal - Legislative,Architect of the Capitol,Architect of the Capitol,,, 
security-news-once.gov,Federal - Legislative,Committee for Purchase From People Who Are Blind or Severely Disabled,Example - Approved,Bradleybury,NE,dotgov@cisa.dhs.gov
rather-teach-past.gov,Federal - Legislative,Public Defender Service for the District of Columbia,Example - Approved,Joshualand,HI,dotgov@cisa.dhs.gov
